pair_id,align_type,latin_preview,english_preview,only_in_latin,only_in_english,shared,has_diff
1,1-3,Ego Patricius peccator rusticissimus et minimus om…,"My name is Patrick . / I am a sinner , a simple country person , and the … / I am looked down upon by many .",acl; acl:relcl; nmod; obj; xcomp,appos; aux:pass; compound; compound:prt; nmod:poss; nsubj:pass; obl:agent,amod; case; cc; conj; cop; det; nsubj; obl; punct; root,YES
2,1-3,"uillulam enim prope habuit , ubi ego capturam dedi…","My father was Calpornius . / He was a deacon ; his father was Potitus , a pries… / His home was near there , and that is where I was …",advcl; advmod; discourse; mark,acl:relcl; advcl:relcl; appos; aux:pass; case; cc; conj; cop; det; flat; nmod:poss; nsubj:pass; obl; parataxis,nsubj; obj; punct; root,YES
3,1-1,Annorum eram tunc fere sedecim .,I was about sixteen at the time .,advmod:tmod; nmod,case; det; nsubj; obl,advmod; cop; punct; root,YES
4,1-4,Deum enim uerum ignorabam et Hiberione in captiuit…,"At that time , I did not know the true God . / I was taken into captivity in Ireland , along with… / We deserved this , because we had gone away from G… / We would not listen to our priests , who advised u…",advmod:neg; discourse; obl:arg,advmod; iobj; nmod:poss; nsubj:pass,acl:relcl; advcl; amod; aux; aux:pass; case; cc; conj; det; mark; nmod; nsubj; obj; obl; punct; root,YES
5,1-7,et Dominus induxit super nos iram animationis suae…,"The Lord brought his strong anger upon us , and sc… / It was among foreigners that it was seen how littl… / It was there that the Lord opened up my awareness … / Even though it came about late , I recognised my f… / So I turned with all my heart to the Lord my God ,… / He guarded me before I knew him , and before I cam… / He protected me and consoled me as a father does f…",acl:relcl; advmod:emph; advmod:lmod; advmod:tmod; flat; obl:arg; xcomp,amod; appos; aux; ccomp; compound:prt; cop; csubj; det:predet; expl; nmod:poss,advcl; advmod; aux:pass; case; cc; conj; det; mark; nmod; nsubj; nsubj:pass; obj; obl; punct; root,YES
6,1-1,"Unde autem tacere non possum , neque expedit quide…",That is why I can not be silent – nor would it be …,advmod:lmod; advmod:neg; aux:pass; discourse; nsubj:pass; obl:arg; xcomp,advcl:relcl; advmod; amod; aux; cop; csubj; det:predet; expl; mark; nmod:poss; nsubj,acl:relcl; case; cc; conj; det; nmod; obj; obl; punct; root,YES
7,1-1,"quia haec est retributio nostra , ut post correpti…","This is how we can repay such blessings , when our…",acl:relcl; csubj,advcl; advcl:relcl; advmod; amod; aux; nmod:poss; xcomp,case; cc; conj; cop; det; mark; nmod; nsubj; obj; obl; punct; root,YES
8,1-2,Quia non est alius Deus nec umquam fuit nec ante n…,"This is because there is no other God , nor will t… / He is the one who was not begotten , the one witho…",acl; advcl:cmp; advmod:neg; advmod:tmod; obl:arg,advcl; appos; aux; aux:pass; expl; nmod; nmod:poss; nsubj:outer; nsubj:pass; parataxis,acl:relcl; advmod; amod; case; cc; conj; cop; det; mark; nsubj; obj; obl; punct; root,YES
9,1-9,"et huius filium Iesum Christum , quem cum Patre sc…","And his son , Jesus Christ , whom we testify has a… / He was begotten in an indescribable way before eve… / Everything we can see , and everything beyond our … / He became a human being ; and , having overcome de… / The Father gave him all power over every being , b… / Let every tongue confess that Jesus Christ , in wh… / He is judge of the living and of the dead ; he rew… / He has generously poured on us the Holy Spirit , t… / This is the one we acknowledge and adore – one God…",acl; advcl:abs; advmod:tmod; obl:arg,appos; aux; cc:preconj; ccomp; fixed; iobj; nmod:poss; nummod; parataxis,acl:relcl; advcl; advmod; amod; aux:pass; case; cc; conj; cop; det; flat; mark; nmod; nsubj; nsubj:pass; obj; obl; punct; root; xcomp,YES
10,2-1,Ipse enim dixit per prophetam : / Inuoca me in die tribulationis tuae et liberabo te…,He said through the prophet : ‘ Call on me in the …,discourse,advmod; aux; ccomp; nmod:poss; parataxis; xcomp,case; cc; conj; det; nmod; nsubj; obj; obl; punct; root,YES
11,2-1,Et iterum inquit : / Opera autem Dei reuelare et confiteri honorificum …,‘ It is a matter of honour to reveal and tell fort…,advmod:tmod; discourse; nsubj,case; compound:prt; det; expl; mark; obj,cc; conj; cop; csubj; nmod; punct; root,YES
